image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM pre_PSNR pre_SSIM
1 95.9293 9.9745 7.5084 7.5723 7.4814 7.2903 0.8 18 18.7057 0.9131 15.6246 0.8779
2 82.7653 18.3832 7.0608 7.0573 7.0480 7.1989 0.1 22 22.0847 0.8929 17.9577 0.8499
3 92.4139 4.2586 6.8992 6.7038 6.9920 6.8977 0.1 20 22.0033 0.9444 17.1434 0.9154
4 148.8194 11.4950 7.2964 7.5759 7.1690 7.3479 0.8 18 17.7530 0.9047 16.2589 0.9049
5 102.2173 17.5474 7.5975 7.6024 7.5788 7.2296 0.8 18 19.8945 0.9032 16.7549 0.8616
6 103.5440 22.0915 7.4307 7.6176 7.4070 7.2730 0.1 22 20.8432 0.9071 17.6810 0.8654
7 66.0302 14.0909 6.8523 6.8104 6.8185 6.8825 1.0 2 21.8618 0.8938 16.7726 0.8105
8 74.3689 7.4586 6.9001 6.9489 6.8786 6.7989 1.0 2 20.5278 0.8880 16.4409 0.8734
9 71.2696 9.8873 7.3121 7.5455 6.9860 6.5788 1.0 2 20.8536 0.9026 15.7296 0.8303
10 60.4915 12.4565 7.0860 7.1570 7.0932 6.9638 1.0 2 24.3786 0.9134 18.2394 0.8605
11 71.5124 22.7451 6.8058 6.6016 6.7962 6.5257 0.1 22 24.7882 0.9213 20.9304 0.8909
12 97.0793 22.3920 7.1114 7.0273 7.0710 7.1784 1.0 2 24.8063 0.9243 18.9311 0.8978
13 54.3346 19.8314 6.1635 6.1787 6.1548 5.9179 0.1 22 24.4351 0.9259 21.3077 0.9034
14 97.8629 16.0985 7.1515 7.1106 7.1013 7.1882 0.1 22 24.6203 0.9207 19.4887 0.9143
15 107.2590 17.1666 7.6726 7.5777 7.6293 7.5573 0.1 18 20.5694 0.8998 17.2113 0.8676
16 102.3843 15.5536 7.6168 7.6493 7.6264 7.5622 0.8 18 20.0576 0.9047 17.3557 0.8747
17 100.9074 20.8325 7.2445 7.1603 7.2438 7.2084 1.0 2 23.7676 0.9070 19.6506 0.9112
18 104.8198 16.2841 7.6138 7.6170 7.6380 6.9976 0.8 22 21.4226 0.9232 17.8714 0.8912
19 88.7265 19.4776 7.5018 7.4775 7.4835 7.4472 0.1 22 22.9544 0.9143 18.9957 0.8853
20 96.5588 21.1165 7.4933 7.4006 7.5014 7.4921 0.1 22 22.4909 0.9035 18.7116 0.8647
21 144.6396 15.5732 7.4246 7.3605 7.3901 7.3921 0.1 18 26.2710 0.9589 24.1608 0.9640
22 140.3745 19.6076 7.3892 7.1740 7.2834 7.4965 0.1 18 27.8502 0.9616 25.0777 0.9656
23 99.8666 15.2398 7.0287 6.8409 6.9000 6.5773 0.1 2 20.8468 0.8614 20.8914 0.8647
24 96.0624 23.5060 7.0299 6.9197 6.9318 6.9235 0.1 8 22.5461 0.7434 22.7295 0.7488
25 119.3372 12.1966 7.2185 7.2714 7.1875 6.9698 0.6 2 21.8247 0.9117 20.6875 0.8927
26 123.7288 16.0128 7.2880 7.3451 7.2308 7.3023 0.5 2 23.3489 0.9181 22.1375 0.9026
27 113.9358 13.4761 7.6314 7.5282 7.6392 7.4221 0.5 6 22.6079 0.9224 21.7161 0.9100
28 114.9055 10.4821 7.0401 7.0521 7.0343 7.0765 0.7 4 19.1664 0.8606 18.4779 0.8487
29 132.3072 12.4079 7.1941 7.2759 7.1835 6.9816 0.4 2 21.5742 0.9287 21.1758 0.9229
30 100.2627 14.0499 7.5155 7.5652 7.4925 7.3653 0.6 4 26.2745 0.9550 24.4396 0.9460
31 72.0050 24.4819 6.6741 6.4280 6.7351 6.7452 0.1 22 22.0929 0.8531 18.6944 0.7695
32 67.8577 17.9182 7.1041 6.8659 7.2089 7.1496 0.8 18 20.0476 0.8484 17.1371 0.7416
33 82.1746 10.4586 7.4040 7.3342 7.4061 6.9669 1.0 2 17.4318 0.8490 14.5030 0.7838
34 71.5248 18.8407 7.0947 6.8334 7.1806 7.1011 0.8 18 19.8112 0.8388 16.9822 0.7482
