image# mean_luminance_Haze mean_luminance_AOD clip gridsize PSNR SSIM
1 160.8536 107.6683 0.4 4 19.4083 0.9470
1 160.8536 107.6683 0.4 8 19.5987 0.9495
1 160.8536 107.6683 0.4 12 19.5913 0.9505
1 160.8536 107.6683 0.4 16 19.9550 0.9516
1 160.8536 107.6683 0.5 4 19.6713 0.9475
1 160.8536 107.6683 0.5 8 19.6768 0.9489
1 160.8536 107.6683 0.5 12 19.8011 0.9502
1 160.8536 107.6683 0.5 16 19.9550 0.9516
1 160.8536 107.6683 0.6 4 19.8669 0.9477
1 160.8536 107.6683 0.6 8 19.7605 0.9488
1 160.8536 107.6683 0.6 12 19.8011 0.9502
1 160.8536 107.6683 0.6 16 20.1921 0.9504
1 160.8536 107.6683 0.7 4 20.0375 0.9473
1 160.8536 107.6683 0.7 8 19.8224 0.9482
1 160.8536 107.6683 0.7 12 20.0343 0.9489
1 160.8536 107.6683 0.7 16 20.1921 0.9504
1 160.8536 107.6683 0.8 4 20.1546 0.9467
1 160.8536 107.6683 0.8 8 20.1810 0.9478
1 160.8536 107.6683 0.8 12 20.2767 0.9477
1 160.8536 107.6683 0.8 16 20.1921 0.9504
2 143.8121 93.6582 0.4 4 22.5316 0.9465
2 143.8121 93.6582 0.4 8 22.7872 0.9469
2 143.8121 93.6582 0.4 12 22.8962 0.9478
2 143.8121 93.6582 0.4 16 22.7845 0.9468
2 143.8121 93.6582 0.5 4 22.7300 0.9462
2 143.8121 93.6582 0.5 8 23.0747 0.9462
2 143.8121 93.6582 0.5 12 23.0714 0.9463
2 143.8121 93.6582 0.5 16 22.7845 0.9468
2 143.8121 93.6582 0.6 4 22.8785 0.9450
2 143.8121 93.6582 0.6 8 23.1017 0.9445
2 143.8121 93.6582 0.6 12 23.0714 0.9463
2 143.8121 93.6582 0.6 16 23.7243 0.9440
2 143.8121 93.6582 0.7 4 22.9615 0.9424
2 143.8121 93.6582 0.7 8 23.2733 0.9427
2 143.8121 93.6582 0.7 12 23.2264 0.9415
2 143.8121 93.6582 0.7 16 23.7243 0.9440
2 143.8121 93.6582 0.8 4 23.0079 0.9394
2 143.8121 93.6582 0.8 8 23.4214 0.9373
2 143.8121 93.6582 0.8 12 23.5288 0.9347
2 143.8121 93.6582 0.8 16 23.7243 0.9440
3 151.8652 102.2334 0.4 4 21.8013 0.9628
3 151.8652 102.2334 0.4 8 21.0676 0.9607
