image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 2 18.4800 0.9433
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 4 18.4321 0.9433
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 6 18.4931 0.9434
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 8 18.5357 0.9434
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 10 18.5168 0.9430
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 12 18.7928 0.9444
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 14 19.5161 0.9445
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 16 19.0702 0.9424
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 18 19.6163 0.9418
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 20 19.6559 0.9439
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.1 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 2 18.4137 0.9423
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 4 18.4170 0.9420
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 6 18.3570 0.9421
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 8 18.6092 0.9430
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 10 18.5168 0.9430
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 12 18.7928 0.9444
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 14 19.5161 0.9445
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 16 19.0702 0.9424
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 18 19.6163 0.9418
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 20 19.6559 0.9439
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.2 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 2 18.3436 0.9410
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 4 18.2430 0.9399
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 6 18.2110 0.9396
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 8 18.4906 0.9406
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 10 18.6153 0.9424
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 12 18.7928 0.9444
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 14 19.5161 0.9445
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 16 19.0702 0.9424
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 18 19.6163 0.9418
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 20 19.6559 0.9439
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.3 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 2 18.2068 0.9391
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 4 18.0385 0.9370
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 6 18.0869 0.9377
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 8 18.3366 0.9387
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 10 18.4985 0.9398
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 12 18.5425 0.9406
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 14 19.5161 0.9445
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 16 19.0702 0.9424
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 18 19.6163 0.9418
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 20 19.6559 0.9439
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.4 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 2 17.9874 0.9365
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 4 17.8172 0.9336
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 6 17.8368 0.9343
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 8 17.9572 0.9340
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 10 18.4263 0.9375
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 12 18.2194 0.9359
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 14 18.7562 0.9382
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 16 19.0702 0.9424
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.5 18 19.6163 0.9418
